"action_id","target_tab","final_tab","layer","source_csv","rows","columns","schema_columns","missing_columns_count","extra_columns_count","dry_run_ok","import_mode","human_editable","google_api_call","real_sheet_write","created_at","notes"
"IMPORT-DRY-STG_ENG_GATES","STG_ENG_GATES","ENG_GATES","control","C:\ENGREMIAT_REPO_CLEAN\ENGREMIAT_MASTER_V2\tools\engremiat-control\control-sheets-main-pc-real-001\seed\STG_ENG_GATES.seed.v1.csv","4","11","11","0","0","True","STAGING_APPEND_OR_REPLACE_REVIEW_REQUIRED","True","False","False","2026-06-11T22:23:27","Dry-run only. No Google API. No real sheet write."
"IMPORT-DRY-STG_ENG_RUNS","STG_ENG_RUNS","ENG_RUNS","operations","C:\ENGREMIAT_REPO_CLEAN\ENGREMIAT_MASTER_V2\tools\engremiat-control\control-sheets-main-pc-real-001\seed\STG_ENG_RUNS.seed.v1.csv","4","12","12","0","0","True","STAGING_APPEND_OR_REPLACE_REVIEW_REQUIRED","False","False","False","2026-06-11T22:23:27","Dry-run only. No Google API. No real sheet write."
"IMPORT-DRY-STG_ENG_DICTIONARY","STG_ENG_DICTIONARY","ENG_DICTIONARY","knowledge","C:\ENGREMIAT_REPO_CLEAN\ENGREMIAT_MASTER_V2\tools\engremiat-control\control-sheets-main-pc-real-001\seed\STG_ENG_DICTIONARY.seed.v1.csv","6","10","10","0","0","True","STAGING_APPEND_OR_REPLACE_REVIEW_REQUIRED","True","False","False","2026-06-11T22:23:27","Dry-run only. No Google API. No real sheet write."
"IMPORT-DRY-STG_ENG_MANUALS","STG_ENG_MANUALS","ENG_MANUALS","human_interface","C:\ENGREMIAT_REPO_CLEAN\ENGREMIAT_MASTER_V2\tools\engremiat-control\control-sheets-main-pc-real-001\seed\STG_ENG_MANUALS.seed.v1.csv","4","10","10","0","0","True","STAGING_APPEND_OR_REPLACE_REVIEW_REQUIRED","True","False","False","2026-06-11T22:23:27","Dry-run only. No Google API. No real sheet write."
"IMPORT-DRY-STG_ENG_PROJECTS","STG_ENG_PROJECTS","ENG_PROJECTS","portfolio","C:\ENGREMIAT_REPO_CLEAN\ENGREMIAT_MASTER_V2\tools\engremiat-control\control-sheets-main-pc-real-001\seed\STG_ENG_PROJECTS.seed.v1.csv","2","11","11","0","0","True","STAGING_APPEND_OR_REPLACE_REVIEW_REQUIRED","True","False","False","2026-06-11T22:23:27","Dry-run only. No Google API. No real sheet write."
"IMPORT-DRY-STG_ENG_TASKS","STG_ENG_TASKS","ENG_TASKS","execution","C:\ENGREMIAT_REPO_CLEAN\ENGREMIAT_MASTER_V2\tools\engremiat-control\control-sheets-main-pc-real-001\seed\STG_ENG_TASKS.seed.v1.csv","4","11","11","0","0","True","STAGING_APPEND_OR_REPLACE_REVIEW_REQUIRED","True","False","False","2026-06-11T22:23:27","Dry-run only. No Google API. No real sheet write."
