"target_tab","package_file","package_relative_path","source_relative_path","source_exists","rows_estimated","sha256","import_mode","final_tab_allowed","real_write_done"
"STG_ENG_GATES","STG_ENG_GATES.csv","tools/engremiat-control/control-sheets-main-pc-real-001/manual-stg-import-package/STG_ENG_GATES.csv","tools\engremiat-control\control-sheets-main-pc-real-001\seed\STG_ENG_GATES.seed.v1.csv","True","4","53E74652C9C03ABF0528A9D7A4C4E49F292E189B255E57833D50435A0E0A7BDF","MANUAL_OR_APPS_SCRIPT_STG_ONLY","False","False"
"STG_ENG_RUNS","STG_ENG_RUNS.csv","tools/engremiat-control/control-sheets-main-pc-real-001/manual-stg-import-package/STG_ENG_RUNS.csv","tools\engremiat-control\control-sheets-main-pc-real-001\seed\STG_ENG_RUNS.seed.v1.csv","True","4","ED37E7135E9FB1AF168FAFCE842A85686909597280379BC5D5167387CC4919B4","MANUAL_OR_APPS_SCRIPT_STG_ONLY","False","False"
"STG_ENG_DICTIONARY","STG_ENG_DICTIONARY.csv","tools/engremiat-control/control-sheets-main-pc-real-001/manual-stg-import-package/STG_ENG_DICTIONARY.csv","tools\engremiat-control\control-sheets-main-pc-real-001\seed\STG_ENG_DICTIONARY.seed.v1.csv","True","6","58CA76A12FD2AF76CC8B9BE9E0A71EB36DB7A2516B9A5594DC42938E361BE872","MANUAL_OR_APPS_SCRIPT_STG_ONLY","False","False"
"STG_ENG_MANUALS","STG_ENG_MANUALS.csv","tools/engremiat-control/control-sheets-main-pc-real-001/manual-stg-import-package/STG_ENG_MANUALS.csv","tools\engremiat-control\control-sheets-main-pc-real-001\seed\STG_ENG_MANUALS.seed.v1.csv","True","4","42256ED2309A3B7AB8873AEE5AEFD973ACA64E9C316AB5C772C441A39DDC8990","MANUAL_OR_APPS_SCRIPT_STG_ONLY","False","False"
"STG_ENG_PROJECTS","STG_ENG_PROJECTS.csv","tools/engremiat-control/control-sheets-main-pc-real-001/manual-stg-import-package/STG_ENG_PROJECTS.csv","tools\engremiat-control\control-sheets-main-pc-real-001\seed\STG_ENG_PROJECTS.seed.v1.csv","True","2","76867AC361B83AB05679100275C515B1EEA15F76C8F75A9A3FFA10E3C6753008","MANUAL_OR_APPS_SCRIPT_STG_ONLY","False","False"
"STG_ENG_TASKS","STG_ENG_TASKS.csv","tools/engremiat-control/control-sheets-main-pc-real-001/manual-stg-import-package/STG_ENG_TASKS.csv","tools\engremiat-control\control-sheets-main-pc-real-001\seed\STG_ENG_TASKS.seed.v1.csv","True","4","0A42F84EFBA5793D91A90E88F936F2099274107FD3736506E6A073CD61786E74","MANUAL_OR_APPS_SCRIPT_STG_ONLY","False","False"
