"order","file","full_path","target_tab","start_cell","rows_including_header","data_rows","header"
"1","STG_ENG_DICTIONARY.csv","C:\ENGREMIAT_REPO_CLEAN\ENGREMIAT_MASTER_V2\tools\engremiat-control\control-sheets-main-pc-real-001\manual-stg-import-package\STG_ENG_DICTIONARY.csv","STG_ENG_DICTIONARY","A1","7","6","""term_id"",""term"",""definition"",""domain"",""source"",""status"",""owner"",""created_at"",""updated_at"",""notes"""
"2","STG_ENG_GATES.csv","C:\ENGREMIAT_REPO_CLEAN\ENGREMIAT_MASTER_V2\tools\engremiat-control\control-sheets-main-pc-real-001\manual-stg-import-package\STG_ENG_GATES.csv","STG_ENG_GATES","A1","5","4","""gate_id"",""phase"",""status"",""decision"",""readiness"",""blockers"",""authorization_required"",""authorization_status"",""created_at"",""source_report"",""notes"""
"3","STG_ENG_MANUALS.csv","C:\ENGREMIAT_REPO_CLEAN\ENGREMIAT_MASTER_V2\tools\engremiat-control\control-sheets-main-pc-real-001\manual-stg-import-package\STG_ENG_MANUALS.csv","STG_ENG_MANUALS","A1","5","4","""manual_id"",""title"",""section"",""content"",""applies_to"",""status"",""human_action"",""created_at"",""updated_at"",""notes"""
"4","STG_ENG_PROJECTS.csv","C:\ENGREMIAT_REPO_CLEAN\ENGREMIAT_MASTER_V2\tools\engremiat-control\control-sheets-main-pc-real-001\manual-stg-import-package\STG_ENG_PROJECTS.csv","REVISION_MANUAL_STG_TARGET","A1","3","2","""project_id"",""project_title"",""objective"",""status"",""readiness"",""current_phase"",""next_action"",""owner"",""created_at"",""updated_at"",""notes"""
"5","STG_ENG_RUNS.csv","C:\ENGREMIAT_REPO_CLEAN\ENGREMIAT_MASTER_V2\tools\engremiat-control\control-sheets-main-pc-real-001\manual-stg-import-package\STG_ENG_RUNS.csv","STG_ENG_RUNS","A1","5","4","""run_id"",""phase"",""block"",""ok"",""decision"",""readiness"",""mode"",""report_json"",""dashboard_html"",""created_at"",""recommended_next"",""notes"""
"6","STG_ENG_TASKS.csv","C:\ENGREMIAT_REPO_CLEAN\ENGREMIAT_MASTER_V2\tools\engremiat-control\control-sheets-main-pc-real-001\manual-stg-import-package\STG_ENG_TASKS.csv","STG_ENG_TASKS","A1","5","4","""task_id"",""project_id"",""title"",""status"",""priority"",""assigned_to"",""requires_human"",""evidence_path"",""created_at"",""due_at"",""notes"""
